Coughs,Speech
3Liy9uBgsQM.wav,5l8Y4twyb6c.wav
xk57B6zi6hA.wav,GwXzQvqmgQg.wav
txVBnPl9KPM.wav,OG_aj0e2gCg.wav
GXLEKU6K1uI.wav,ogDl7PHyyhE.wav
GzdmC_MiIyg.wav,0sLzEXwCV50.wav
qHxgEpRG1Vs.wav,h1QxG72W3g0.wav
BR6UqPUqYsQ.wav,brsMKP0yP8I.wav
_0WKVY0n8aE.wav,uFMH9z6DMIE.wav
k_0J26cnYpw.wav,Cf02eu2D_Hs.wav
bv35U83Ob1o.wav,1w979JoVyXM.wav
8ieJbzu7ql8.wav,4NtspP5IbfI.wav
RYppdW56lfo.wav,DVhN2nJSoi0.wav
VlFNQv6fLqQ.wav,V44Qc-TpuIE.wav
qj-s6ZcgytA.wav,6KL1ZzMv7fw.wav
HEKKh5yZ1s8.wav,Icv0XlAuBGo.wav
E5guDHgn7XQ.wav,NkwMxUW-Kds.wav
Z459PzdNuCU.wav,Cma9PIQjd0g.wav
tUUkucw-BOY.wav,IqkO1-vQwjU.wav
jMyY06bjVRA.wav,QVUn9VPburE.wav
89ZJ46zuxRY.wav,vsPf6n0HSA8.wav
vA-eGyCdVBE.wav,QEQJDOxTSUQ.wav
quwLxxbH2Pg.wav,x-mgo5sWa4E.wav
qOSdHmfwLF4.wav,TGD-BriYDm4.wav
dFmT9hZ5sbA.wav,z67ie5IhMtU.wav
oGf-eDCiQfg.wav,BmaJagrZoeM.wav
-vu4jJkffMw.wav,cTc9kM0oN3Y.wav
nL3LUxrWEpA.wav,YieSeZKERus.wav
4txOUgXllWE.wav,QAuLVVjN3cI.wav
EksYlo1IXU0.wav,x9zV4VGmuBI.wav
3id3zRRZBVM.wav,iFnbUjacxlU.wav
1MSYO4wgiag.wav,SC-MCEqtSHc.wav
aJdyPN00-bM.wav,_gBfwlzmcxI.wav
X8yUSV4oqoU.wav,3IAQtwMWMwM.wav
RwE9JAktTvU.wav,aG3IrE5X43c.wav
O61IKTdt2I0.wav,7jvf2fwhkXY.wav
RWCSzp1zU8A.wav,YHfe-pFhfT4.wav
TA-iHSeEUYk.wav,e4v2-86qQh8.wav
6nTcsNoIGDw.wav,4wEqOLNZiJU.wav
Ao0n1cqfFDw.wav,6q3FwDLGA0g.wav
sNCKIJFUj5I.wav,1jQW69fxTW0.wav
VzVjieAgz7Y.wav,bJjYBAwglxM.wav
sUFGh7zp9D0.wav,4E0Kicq90NM.wav
9KNqsONT3-Y.wav,0c0_nGXq5n4.wav
cl5Bt-rqtZ4.wav,AYaN9NqpVA0.wav
o-TJISpYLFc.wav,7R6Hzrp1Ul8.wav
xCRumdDLFj0.wav,obahqOGbA4U.wav
