Coughs,Speech
tVo18pzri74.wav,0Gmnfg0ob2Y.wav
RDb2VQZZaoo.wav,wuzn7BZqPhk.wav
sBQmYKx44vw.wav,1vDnqREJkok.wav
rWjU8DLj8vE.wav,FQD0d9d9fes.wav
BJZFDdIhBaU.wav,sWnEmeT1Tu4.wav
dx0JBSCuHSs.wav,w6Eh5TCim3o.wav
jd2ENRtbxRQ.wav,TTtoPGCu4P0.wav
W5nmsB6QcIo.wav,yEx1q2m4EFY.wav
sHdnsxOtVVI.wav,XNVoQqsDSg8.wav
fom1o4tKsFU.wav,jUiarLWzSrE.wav
1F234DLNRYc.wav,8h-gBPqLJfk.wav
_hptdlGvSV4.wav,Lva1QDgious.wav
HtdYwnS791U.wav,d_nWeecVBc4.wav
A5s2ZgwQ1VM.wav,VZ8IuUmH7Kw.wav
jl-bMwj6ZQ4.wav,Te5e-7ZRcG4.wav
zWOD_bnFjF8.wav,aUEi1LmR7pI.wav
yQb6MnJxL78.wav,WDGQdxhpsGI.wav
7_v8jFFo9SM.wav,_Pd8ungNMLo.wav
gCI4upmqTg8.wav,KokOyiwxRvU.wav
R0AJ_4W0f8k.wav,k6JaH9busaY.wav
f1zWL7xBcCo.wav,X-ShSbMN198.wav
y5q8M5iRS4A.wav,Z7PF5qa-rAU.wav
BR6UqPUqYsQ.wav,VmNGKIisrRU.wav
czpeupUmKZM.wav,--C9bI0aqrY.wav
HfBGqT5ss-o.wav,aVhtjwL2j7s.wav
k_0J26cnYpw.wav,-NF063PVavc.wav
oUUfZn8K_pg.wav,1FFYZEk098o.wav
K7k1tH72E4k.wav,D7f_yZ0OPtA.wav
Vc4OqYmUxYg.wav,B91i25MpNhY.wav
3gFShyvw8iU.wav,Ne06PReOIC8.wav
vwdFUtLKZzU.wav,311gSUD5fnE.wav
mtH-Z8fNwDM.wav,1smUdGUgHAk.wav
F_GGtPcT3Ew.wav,OwQkR-A-vOI.wav
enIJGjihMT8.wav,ceVn0l8BrlY.wav
Fp-TYthqsss.wav,obf7iGb3P00.wav
a1Fl2okChlw.wav,NggMxKR0oZQ.wav
rllrJN6IFJs.wav,XtlkzJZt7Gs.wav
GTiou-fTfQs.wav,I8oUCNE4ulQ.wav
b3P2awI0fts.wav,m5wU8q2Pav4.wav
SyAvjMqAe8o.wav,Jsy00yMwHIk.wav
Xz2GB2WNxaE.wav,DbRS8CJyZ2U.wav
a0WWg7AaBdw.wav,_5AxeccpKWc.wav
GF0kySmZtG4.wav,NzWq6tuEpas.wav
TDuqAUQSIFY.wav,8Thyfg9TYDw.wav
4yFWcSkby5w.wav,b-pnzNCfcEc.wav
KCqugHUa6lY.wav,IFrgnM2hBDM.wav
TPcKwMZr25Y.wav,V3tZw1NQ-VI.wav
aTHVNwrEVxI.wav,aTDoND8Aim0.wav
fODLQa2BJCo.wav,Y8f7JGpz1NQ.wav
